,rank,name,year,Douban_rating,country,genres,budget,revenue,keywords,MLens_rating
0,1,The Shawshank Redemption,1994,9.7,US,Drama/Crime,25000000,28341469,prison/corruption/police brutality/prison cell/delinquent/parole board/prison escape/wrongful imprisonment/framed for murder/1940s,4.469993781094527
1,2,Farewell My Concubine,1993,9.6,CN,Drama,0,0,gay/china/society/cultural revolution/woman between two men/best friend/beijing/chinese opera/female impersonator/severed finger,4.469993781094527
2,3,Forrest Gump,1994,9.5,US,Comedy/Drama/Romance,55000000,677945399,vietnam veteran/hippie/washington d.c./mentally disabled/based on novel or book/parent child relationship/vietnam war/friendship/love/family relationships/military/wounded soldier/low iq/false history,4.469993781094527
3,4,Léon: The Professional,1994,9.4,FR,Crime/Drama/Action,16000000,45284974,new york/corruption/loss of loved one/assassin/police brutality/s.w.a.t./immigrant/hitman/training/revenge/murder/loneliness/neighbor/tragic love/cult film/neo-noir/complex relationship,4.469993781094527
4,5,Life Is Beautiful,1997,9.5,IT,Comedy/Drama,20000000,229400000,italy/riddle/loss of loved one/bookshop/self sacrifice/mass murder/concentration camp/fascism/world war ii/love of one's life/deportation/jew persecution/nazi/national socialism/charade/riding a bicycle/story teller/concentration camp prisoner/dying and death,4.469993781094527
5,6,Titanic,1997,9.4,US,Drama/Romance/Thriller,200000000,1845034188,iceberg/ship/panic/titanic/ocean liner/epic/rich woman poor man/love/disaster/tragic love/class differences/imax/star crossed lovers/steerage/rich snob/inspired by true events,4.469993781094527
6,7,Spirited Away,2001,9.3,JP,Animation/Family/Fantasy,19000000,274925095,witch/parent child relationship/magic/darkness/bath house/ghost world/parallel world/amusement park/youkai/japanese mythology/anime/spirits,4.469993781094527
7,8,Schindler's List,1993,9.5,US,Drama/History/War,22000000,321365567,based on novel or book/factory/concentration camp/hero/holocaust/world war ii/ghetto/jew persecution/krakow/auschwitz/industrialist/jew/nazi/defense industry/biography/based on a true story/train/poland/ss/weapons manufacturer,4.469993781094527
8,9,Inception,2010,9.3,GB,Action/Science Fiction/Adventure,160000000,825532764,"paris, france/spy/philosophy/hotel/allegory/dream/virtual reality/fistfight/car crash/rescue/mission/los angeles/danger/zero gravity/imagination/dream world/idea/subconscious",4.469993781094527
9,10,Hachi: A Dog's Tale,2009,9.3,GB,Drama/Family,16000000,47801389,loyalty/human animal relationship/friendship/friends/family relationships/dog/newspaper reporter/family dog/waiting,4.469993781094527
10,11,WALL·E,2008,9.3,US,Animation/Family/Science Fiction,180000000,521311860,garbage/space travel/dystopia/loneliness/distant future/robot/dystopian future/aftercreditsstinger/duringcreditsstinger,4.469993781094527
11,12,The Legend of 1900,1998,9.3,IT,Drama/Music/Romance,9000000,0,ocean/ship/pianistin/child prodigy/fondling,4.469993781094527
12,13,3 Idiots,2009,9.2,IN,Drama/Comedy/Romance,9000000,70000000,suicide/suicide attempt/college/friends/engineering/student/subjective camera,4.469993781094527
13,14,The Chorus,2004,9.3,CH,Drama,0,0,penalty/choir/diary/musical/boy's choir/dormitory/music/boarding school/children/principal/boys' boarding school/1940s,4.469993781094527
14,15,The Truman Show,1998,9.3,US,Comedy/Drama,60000000,264118201,claustrophobia/hidden camera/dystopia/reality tv/make believe/pretend,4.469993781094527
15,16,Interstellar,2014,9.3,GB,Adventure/Drama/Science Fiction,165000000,675120017,artificial intelligence/nasa/spacecraft/expedition/future/wormhole/space travel/famine/black hole/dystopia/race against time/quantum mechanics/space/rescue/family relationships/farmhouse/robot/astronaut/scientist/single father/farmer/space station/imax/father daughter relationship,4.469993781094527
16,17,A Chinese Odyssey Part Two: Cinderella,1995,9.2,HK,Comedy/Fantasy,0,2692748,,4.469993781094527
17,18,My Neighbor Totoro,1988,9.2,JP,Fantasy/Animation/Family,0,0,japan/sibling relationship/mother/leave/village/rural setting/hospital/new neighbor/new home/super power/magical creature/cute/anime,4.469993781094527
18,19,Silenced,2011,9.3,KR,Drama,2200000,31500000,child abuse/rape/based on novel or book/based on a true story/disability/teacher student sex/sex crime/deaf child,4.469993781094527
19,20,Infernal Affairs,2002,9.2,HK,Drama/Action/Thriller/Crime/Mystery,0,8708932,undercover/undercover agent/hong kong,4.469993781094527
20,21,The Godfather,1972,9.3,US,Drama/Crime,6000000,245066411,italy/loss of loved one/love at first sight/italian american/europe/patriarch/organized crime/mafia/lawyer/crime family/rise to power/mob boss/1940s/1950s,4.469993781094527
21,22,Zootopia,2016,9.2,US,Animation/Adventure/Family/Comedy,150000000,1023784195,allegory/lion/hippopotamus/fox/elephant/sheep/polar bear/bullying/moose/revenge/conspiracy/urban/female protagonist/cheetah/anthropomorphism/rabbit/rookie cop/missing person/racial prejudice/injustice/reconciliation/ram/stereotype/badger/discrimination/3d/police woman/yak/african buffalo/gazelle/three-toed sloth/arctic shrew/african elephant/honey badger/indian elephant/black jaguar/fennec fox/black rhinoceros/nine-banded armadillo,4.469993781094527
22,23,The Pursuit of Happyness,2006,9.1,US,Drama,55000000,307077295,san francisco/single parent/homeless person/bus/worker/homelessness/work/church service/bad luck/biography/salesman/stockbroker,4.469993781094527
23,24,Flipped,2010,9.0,US,Romance/Drama,14000000,1755212,shyness/based on novel or book/unrequited love/neighbor/family relationships/teenage boy/first crush/young love/opposites attract/multiple perspectives/1950s/1960s/based on young adult novel/eggs,4.469993781094527
24,25,The Intouchables,2011,9.2,FR,Drama/Comedy,13000000,426480871,male friendship/masseuse/friendship/based on a true story/aristocrat/paragliding/interracial friendship/unlikely friendship/duringcreditsstinger/quadriplegic/quadriplegia,4.469993781094527
25,26,The Dark Knight,2008,9.2,GB,Drama/Action/Crime/Thriller,185000000,1004558444,dc comics/crime fighter/secret identity/scarecrow/sadism/chaos/vigilante/joker/superhero/based on comic/tragic hero/organized crime/criminal mastermind/district attorney/super power/imax/super villain/batman,4.469993781094527
26,27,To Live,1994,9.2,CN,Drama/Romance/War,0,0,gambling/china/child abuse/communist/cultural revolution/chinese civil war/gambling debts/epic/shadow puppet/1940s/1950s/1960s,4.469993781094527
27,28,Witness for the Prosecution,1957,9.6,US,Drama/Mystery/Crime,3000000,9000000,nurse/alibi/letter/widow/murder/lawyer/trial/cigarette smoking/courtroom/murder mystery/tiki culture,4.469993781094527
28,29,Gone with the Wind,1939,9.3,US,Drama/Romance/War,4000000,400176459,southern usa/loss of loved one/marriage proposal/atlanta/plantation/typhus/business woman/marriage crisis/american civil war/old south/early america,4.469993781094527
29,30,Life of Pi,2012,9.0,US,Adventure/Drama/Action,120000000,609016565,ocean/zoo/shipwreck/hindu/tiger/faith/zebra/zookeeper/india/teenage boy/hyena/meerkat/cargo ship/lifeboat/injured animal/storm at sea,4.469993781094527
30,31,Dangal,2016,9.0,IN,Drama/Action,10400000,310000000,parent child relationship/feminism/empowerment/strong woman/training/biography/wrestling/sport/autobiography/domestic abuse/woman power/fighting/womanhood/endurance/woman vs woman fight/female empowerment/determination/strength training/abusive father/overcoming fears/woman empowerment,4.469993781094527
31,32,The Lord of the Rings: The Return of the King,2003,9.2,NZ,Adventure/Fantasy/Action,94000000,1118888979,elves/dwarf/orcs/middle-earth (tolkien)/hobbit/based on novel or book/suspicion/volcano/power/giant spider/bravery/war/addiction/honor/royalty/troll/brutality/violence/ghost/wizard/quest/sword and sorcery,4.469993781094527
32,33,Up,2009,9.0,US,Animation/Comedy/Family/Adventure,175000000,735099082,age difference/central and south america/balloon/duringcreditsstinger/exploring,4.469993781094527
33,34,Devils on the Doorstep,2000,9.2,CN,Drama/War,0,0,world war ii/japanese occupation,4.469993781094527
34,35,12 Angry Men,1957,9.4,US,Drama,350000,1000000,judge/jurors/sultriness/death penalty/father murder/puerto rican/anonymity/court case/heat/group/class/innocence/court/courtroom,4.469993781094527
35,36,Castle in the Sky,1986,9.1,JP,Adventure/Fantasy/Animation/Action/Family/Romance,0,0,flying/mine/magic/castle/lost civilisation/army/pirate/girl/government agent/floating/pendant/blue sky/air pirate/crystal/anime,4.469993781094527
36,37,Cinema Paradiso,1988,9.2,IT,Drama/Romance,0,11990401,sicily/movie business/parent child relationship/cinema/kiss/flashback/coming of age/haunted by the past/censorship/movie theatre/nuovo cinema paradiso,4.469993781094527
37,38,Coco,2017,9.1,US,Animation/Family/Comedy/Adventure/Fantasy,175000000,800526015,mexico/guitar/musician/skeleton/music/afterlife/latinx lead/singer/life after death/child/3d/day of the dead,4.469993781094527
38,39,The Last Emperor,1987,9.2,CN,Drama/History,23000000,43984230,buddhism/suicide/china/suicide attempt/war crimes/becoming an adult/isolation/war on drugs/opium/experiment/drug addiction/world war ii/revolution/emperor/arranged marriage/manchuria/dynasty/reeducation camp/biography/war/coup d'etat/autobiography/based on a true story/teacher/japanese occupation/beijing/dowager/decadence/communism/1920s/1940s/1950s/1910s/1930s,4.469993781094527
39,40,A Chinese Odyssey Part One: Pandora's Box,1995,9.0,HK,Fantasy/Adventure/Comedy,0,3237520,martial arts,4.469993781094527
40,41,Howl's Moving Castle,2004,9.0,JP,Fantasy/Animation/Adventure,24000000,236049757,flying/witch/rain/castle/scarecrow/body exchange/hatter/bakery/demon/anime/based on young adult novel,4.469993781094527
41,42,Roman Holiday,1953,9.0,US,Comedy/Romance/Drama,1500000,12000000,rome italy/secret identity/boat/dance/intelligence/forbidden love/embassy/duty/sightseeing/photography/trevi fountain,4.469993781094527
42,43,Fight Club,1999,9.0,DE,Drama,63000000,100853753,support group/dual identity/nihilism/fight/rage and hate/insomnia/dystopia/alter ego/violence/cult film/split personality/quitting a job/dissociative identity disorder,4.469993781094527
43,44,Scent of a Woman,1992,9.0,US,Drama,31000000,134095253,blindness and impaired vision/tango/thanksgiving/boarding school/prank/colonel/student/blind/new york city/tears/new england/change of heart/preparatory school/ex military,4.469993781094527
44,45,Hope,2013,9.2,KR,Drama,0,0,hope,4.469993781094527
45,46,The Attorney,2013,9.2,KR,History/Drama,0,0,lawyer/democracy/representation/civil liberties/busan/the attorney,4.469993781094527
46,47,Capernaum,2018,9.1,LB,Drama,4000000,64978931,child abuse/lebanon/refugee/neglect/beirut/lawsuit/child bride/undocumented immigrant/poverty,4.469993781094527
47,48,The Lives of Others,2006,9.1,DE,Drama/Thriller,2000000,70000000,germany/berlin germany/berlin wall/corruption/german democratic republic/stasi/blackmail/cold war/soviet union/propaganda/freedom of speech/house search/artists' life/spying/government/interrogation/surveillance/heartbreak/east germany/communism,4.469993781094527
48,49,Dead Poets Society,1989,9.1,US,Drama,16400000,235860116,individual/philosophy/poetry/william shakespeare/professor/literature/friendship/teacher/school play/vermont/schoolteacher/preparatory school/a midsummer night's dream/1950s,4.469993781094527
49,50,The Godfather: Part II,1974,9.2,US,Drama/Crime,13000000,102600000,italy/italian american/cuba/melancholy/praise/revenge/mafia/lawyer/blood/suburb/corrupt politician/bloody body of child/man punches woman,4.469993781094527
50,51,"Lock, Stock and Two Smoking Barrels",1998,9.1,GB,Comedy/Crime,1350000,28356188,ambush/alcohol/shotgun/tea/joint/machismo/cocktail/rifle/marijuana/pot smoking/hatchet/antique/cardsharp/anger/cult film/carjacking/piano/strip show/high stakes,4.469993781094527
51,52,The Lord of the Rings: The Two Towers,2002,9.1,NZ,Adventure/Fantasy/Action,79000000,926287400,elves/dwarf/orcs/middle-earth (tolkien)/hobbit/based on novel or book/explosive/cave/power/siege/fort/army/addiction/mission/attack/guide/split personality/wizard/ring/sword and sorcery,4.469993781094527
52,53,One Flew Over the Cuckoo's Nest,1975,9.1,US,Drama,3000000,108981275,nurse/based on novel or book/oregon/lunatic asylum/friendship/hospital/female villain/shock treatment,4.469993781094527
53,54,The Lion King,1994,9.0,US,Family/Animation/Drama,45000000,987483777,loss of loved one/lion/musical/wild boar/uncle/shaman/redemption/king/scar/family/hyena/meerkat/mandrill,4.469993781094527
54,55,The Lord of the Rings: The Fellowship of the Ring,2001,9.0,NZ,Adventure/Fantasy/Action,93000000,871368364,elves/dwarf/orcs/middle-earth (tolkien)/hobbit/loss of loved one/based on novel or book/river/mountain/mine/fireworks/castle/volcano/power/birthday party/uncle/addiction/battle/blizzard/wizard/journey/ring/sword and sorcery,4.469993781094527
55,56,V for Vendetta,2005,8.9,DE,Action/Thriller/Fantasy,54000000,132511035,detective/dc comics/fascism/fascist/dystopia/government/chancellor/revenge/torture/hatred/masked vigilante/vengeful spirit/activist/vengeful,4.469993781094527
56,57,A Beautiful Mind,2001,9.0,US,Drama/Romance,60000000,313542341,individual/schizophrenia/usa/massachusetts/love of one's life/intelligence/mathematician/market economy/economic theory/princeton university/nobel prize/mathematical theorem/m.i.t./biography/mathematics/delusion,4.469993781094527
57,58,Eat Drink Man Woman,1994,9.1,TW,Comedy/Drama/Romance,0,7294403,cooking/sense of life/daughter/dating/family,4.469993781094527
58,59,The Monkey King,1961196419782004,9.3,CN,Animation/Adventure/Fantasy,0,0,,4.469993781094527
59,60,Harry Potter and the Philosopher's Stone,2001,8.9,GB,Adventure/Fantasy/Family,125000000,976475550,witch/based on novel or book/christmas party/magic/halloween/child hero/broom/chosen one/frog/fantasy world/wizard/based on young adult novel/wizarding world/hogwarts,4.469993781094527
60,61,The Pianist,2002,9.1,FR,Drama/War,35000000,120072577,resistance/holocaust/hunger/world war ii/prisoner of war/homeland/ghetto/deportation/hiding place/jew persecution/liberation/warsaw ghetto/polish resistance/nazi/biography/concert/survival/based on memoir or autobiography/pianist/poland,4.469993781094527
61,62,The Cove,2009,9.3,US,Documentary,0,1162422,japan/ocean/dolphin/nationalism/suffering/dying and death/whaling/expose/fishing boat/activist/cove,4.469993781094527
62,63,The Curious Case of Benjamin Button,2008,8.9,US,Fantasy/Drama/Thriller/Mystery/Romance,150000000,333932083,diary/navy/funeral/tea/travel/hospital/based on short story/reverse aging,4.469993781094527
63,64,Love Letter,1995,8.9,JP,Drama/Romance,0,0,,4.469993781094527
64,65,The Matrix,1999,9.0,AU,Action/Science Fiction,63000000,463517383,saving the world/artificial intelligence/man vs machine/philosophy/prophecy/martial arts/self sacrifice/fight/insurgence/virtual reality/dystopia/truth/cyberpunk/dream world/woman director/messiah/gnosticism/trans director,4.469993781094527
65,66,The Invisible Guest,2016,8.8,ES,Mystery/Crime/Thriller,4000000,30000000,judge/suspect/interrogation/false accusation of murder/unreliable narrator/confession of crime/uncover truth/accusation,4.469993781094527
66,67,Let the Bullets Fly,2010,8.8,CN,Action/Comedy,0,0,china/satire/western/bandit/bandit gang,4.469993781094527
67,68,Malena,2000,8.8,IT,Drama,0,14493284,sicily/jealousy/world war ii/longing/sex trafficking/intrigue/pretty woman,4.469993781094527
68,69,Children of Heaven,1997,9.2,IR,Drama/Comedy/Family,180000,925402,sibling relationship/class/foot race,4.469993781094527
69,70,Catch Me If You Can,2002,8.9,US,Drama/Crime,52000000,352114312,fbi/con man/biography/based on a true story/attempted jailbreak/engagement party/mislaid trust/bank fraud/inspired by a true story,4.469993781094527
70,71,Saving Private Ryan,1998,9.0,US,Drama/History/War,70000000,481840909,war crimes/self sacrifice/war veteran/world war ii/war ship/airplane/bravery/normandy/parachute/troops/waffen ss/omaha beach/army/cowardice/american flag/war memorial/deserted town/military/1940s,4.469993781094527
71,72,Once Upon a Time in America,1984,9.2,US,Drama/Crime,20000000,5300000,life and death/corruption/street gang/rape/sadistic/lovesickness/sexual abuse/regret/prohibition/money laundering/opium/gangster/mafia boss/murder/memory/torture/new york city/brooklyn bridge/childhood friends/1920s/1960s/1930s,4.469993781094527
72,73,The Sound of Music,1965,9.0,US,Drama/Family/Music/Romance,8200000,286214286,resistance/austria/world war ii/musical/music competition/salzburg/based on play or musical/classic/alps/governess/convent/novice/puppet show/nun in love/nazi occupation/1930s,4.469993781094527
73,74,Dying to Survive,2018,9.0,CN,Drama/Comedy,0,0,,4.469993781094527
74,75,The Prestige,2006,8.8,US,Drama/Mystery/Thriller,40000000,109676311,competition/secret/obsession/magic/diary/dying and death/class society/illusion/tricks/hostility/class/partner/rivalry/nikola tesla/tesla coil,4.469993781094527
75,76,Se7en,1995,8.8,US,Crime/Mystery/Thriller,33000000,327311859,self-fulfilling prophecy/detective/s.w.a.t./drug dealer/evisceration/lust and impulsiveness/rage and hate/pride and vanity/immoderateness/insomnia/investigation/pension/police/serial killer/neo-noir,4.469993781094527
76,77,Pulp Fiction,1994,8.8,US,Thriller/Crime,8000000,213928762,transporter/drug dealer/boxer/massage/stolen money/crime boss/dance competition/junkyard/kamikaze/briefcase/redemption/heirloom/los angeles/theft/violence/nonlinear timeline/shared universe,4.469993781094527
77,78,The Boy in the Striped Pyjamas,2008,9.1,GB,War/Drama,12500000,20416563,nationalism/concentration camp/world war ii/gas chamber/nazi/concentration camp prisoner/children in wartime,4.469993781094527
78,79,Memories of Matsuko,2006,8.9,JP,Comedy/Drama/Music,0,0,musical,4.469993781094527
79,80,The Silence of the Lambs,1991,8.8,US,Crime/Drama/Thriller/Horror,19000000,272742922,based on novel or book/fbi/kidnapping/psychopath/horror/murder/serial killer/psychological thriller/cannibal/moth/cannibalism,4.469993781094527
80,81,The Butterfly Effect,2004,8.8,CA,Science Fiction/Thriller,13000000,96060858,amnesia/chaos theory/blackout/time travel/flashback,4.469993781094527
81,82,Happy Together,1997,8.9,HK,Drama/Romance,0,0,homosexuality/independent film/argentina/asian lgbt,4.469993781094527
82,83,Good Will Hunting,1997,8.9,CA,Drama,10000000,225933435,baseball/boston/professor/m.i.t./harvard university/ambition/mathematics/genius/love/friends/flashback/janitor/irish/psychologist/university/courtroom/prodigy,4.469993781094527
83,84,Shutter Island,2010,8.8,US,Drama/Thriller/Mystery,80000000,294804195,based on novel or book/island/hurricane/investigation/psychiatric hospital/u.s. marshal/conspiracy theory/neo-noir/1950s,4.469993781094527
84,85,Braveheart,1995,8.9,US,Action/Drama/History/War,72000000,210000000,individual/scotland/in love with enemy/revolution/kilt/legend/independence/freedom/idealism/family clan/battle/united kingdom/revolt/tyranny/false history/highlands/13th century/scottish highlands/warfield,4.469993781094527
85,86,Edward Scissorhands,1990,8.7,US,Fantasy/Drama/Romance,20000000,53000000,underdog/love at first sight/hairdresser/small town/scissors/inventor/burglar/unsociability,4.469993781094527
86,87,The Grand Budapest Hotel,2014,8.8,DE,Comedy/Drama,30000000,174600318,hotel/eastern europe/painting/author/wartime/gunfight/theft/bellboy/mentor protégé relationship/european/hotel lobby/renaissance painting/1960s/1930s,4.469993781094527
87,88,Amélie,2001,8.7,FR,Comedy/Romance,10000000,173921954,"paris, france/love triangle/ghost train/sex-shop/shyness/montmartre/daughter/garden gnome/journey round the world/photography",4.469993781094527
88,89,Avatar,2009,8.7,US,Action/Adventure/Fantasy/Science Fiction,237000000,2787965087,culture clash/future/space war/space colony/society/space travel/futuristic/romance/space/alien/tribe/alien planet/marine/soldier/battle/love affair/space opera/anti war/power relations/mind and soul,4.469993781094527
89,90,Modern Times,1936,9.3,US,Drama/Comedy,1500000,8500000,factory/ambulance/invention/tramp/great depression/industrial revolution/slapstick/machine/pardon/guilty,4.469993781094527
90,91,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.7,US,Adventure/Fantasy/Action,140000000,655011224,exotic island/blacksmith/east india trading company/gold/marriage proposal/mutiny/jamaica/skeleton/daughter/governor/wooden eye/gold coin/pirate/alcoholic/swashbuckler/caribbean/aftercreditsstinger/pirate ship/capuchin monkey/tortuga,4.469993781094527
91,92,Princess Mononoke,1997,8.9,JP,Adventure/Fantasy/Animation,26500000,159375308,fight/wolf/leprosy/pan/wild boar/territory/feral child/friendship/princess/good vs evil/rural setting/decapitation/spirit/demon/deforestation/anime,4.469993781094527
92,93,Identity,2003,8.8,US,Mystery/Thriller,10000000,0,prostitute/detective/nevada/prisoner/rain/motel/weather/psychopath/ex-cop/stranded/murder/serial killer/scream/storm/psychiatrist/convict/thunderstorm/rainstorm/split personality/mental disorders/murder mystery/dissociative identity disorder/isolated place,4.469993781094527
93,94,Departures,2008,8.8,JP,Drama,0,69932387,coffin/octopus/cello/dying and death/funeral/musical/based on memoir or autobiography/odd job/yamagata,4.469993781094527
94,95,Brokeback Mountain,2005,8.8,CA,Drama/Romance,14000000,178043761,gay/countryside/homophobia/wyoming/intolerance/daughter/marriage crisis/secret love/cowboy/star crossed lovers,4.469993781094527
95,96,King of Comedy,1999,8.7,HK,Comedy/Drama/Romance,0,0,,4.469993781094527
96,97,In the Heat of the Sun,1994,8.8,CN,Drama,0,0,based on novel or book/1970s/cultural revolution/coming of age/teenage boy/beijing,4.469993781094527
97,98,Chungking Express,1994,8.7,HK,Drama/Comedy/Romance,0,0,ex-girlfriend/drug smuggle/girlfriend/snack bar/romance/hong kong/pineapple/expiration date/flight attendant,4.469993781094527
98,99,The Hunt,2012,9.1,DK,Drama,3800000,18309793,parent child relationship/lie/pedophilia/kindergarten/father/children/teacher/school/pedophile/divorce,4.469993781094527
99,100,The Sixth Sense,1999,8.8,US,Mystery/Thriller/Drama,40000000,672806292,philadelphia/child abuse/loss of loved one/sense of guilt/confidence/psychology/dying and death/marriage crisis/afterlife/single/paranormal phenomena/cowardliness/single mother/school play/ghost/child/spiritism/ghost child,4.469993781094527
100,101,Heidi,2015,9.2,DE,Adventure/Family,8800000,0,friendship/orphan/family/swiss alps,4.469993781094527
101,102,Mary and Max,2009,8.9,AU,Animation/Comedy/Drama,590235,1725381,chocolate/letter/birthmark/only child/approach/australia/bullying/friendship bracelet/pen pals/atheist/loneliness/stop motion/neighbor/phone book/unlikely friendship/correspondence/eating disorder/asperger's syndrome,4.469993781094527
102,103,Memories of Murder,2003,8.8,KR,Crime/Drama/Thriller,2800000,26000000,corruption/rape/detective/assassin/evidence/suspect/victim/investigation/police/based on a true story/murder/korea/true/torture/brutality/killer,4.469993781094527
