,rank,name,year,Douban_rating,country,genres,budget,revenue,keywords,MLens_rating
138,139,Echoes of the Rainbow,2010,8.7,HK,Comedy/Drama/Romance,0,0,school/childhood,4.469993781094527
139,140,The Wedding Banquet,1993,8.9,TW,Comedy/Drama/Romance,1000000,6933459,gay/new york/parent child relationship/husband wife relationship/coming out/wedding night/taiwan/homosexuality/independent film/man pretending to be straight/wedding/family/chinese restaurant/asian lgbt/gay couple,4.469993781094527
140,141,Seven Samurai,1954,9.2,JP,Action/Drama,2000000,271841,japan/samurai/sword/peasant/looting/rice/fencing/village/epic/moral ambiguity/battle/bandit/practice/16th century,4.469993781094527
141,142,The Bourne Ultimatum,2007,8.8,DE,Action/Drama/Mystery/Thriller,70000000,442824138,"paris, france/corruption/madrid/assassin/based on novel or book/europe/prosecution/dangerous/false identity/revelation/government/weapon/interpol/sequel/flashback/conspiracy/shootout/espionage/motorcycle/violence/foot chase/moskow/dark past/rooftop chase/langley virginia/security leak",4.469993781094527
142,143,A Better Tomorrow,1986,8.7,HK,Action/Crime/Drama,0,4469460,prison/sibling relationship/snake/conciliation/observer/arrest/triade/revenge/counterfeit/hong kong/police officer,4.469993781094527
143,144,About Time,2013,8.7,GB,Comedy/Drama/Romance/Fantasy,12000000,87100449,"london, england/beach/parent child relationship/sun/time travel/cornwall england/love/city/outdoor",4.469993781094527
144,145,Pride & Prejudice,2005,8.6,FR,Drama/Romance,28000000,121147947,based on novel or book/bachelor/prejudice/suitor/period drama/georgian/pride/18th century/opposites attract,4.469993781094527
145,146,A Perfect World,1993,9.1,US,Crime/Drama/Thriller,30000000,135130999,texas/hostage/escaped convict/prison escape/child kidnapping/child driving car/criminologist/1960s/kidnapped child,4.469993781094527
146,147,The Croods,2013,8.7,US,Action/Adventure/Animation/Comedy/Family/Fantasy,135000000,585178928,parent child relationship/stone age/daughter/father/prehistoric/ancient world/family/cavemen/aftercreditsstinger/duringcreditsstinger,4.469993781094527
147,148,Grave of the Fireflies,1988,8.7,JP,Animation/Drama/War,3700000,0,sibling relationship/hunger/world war ii/shelter/wartime/anime/orphan siblings/children in wartime,4.469993781094527
148,149,Ashes of Time,1994,8.6,HK,Drama/Action,0,0,,4.469993781094527
149,150,Whiplash,2014,8.7,US,Drama/Music,3300000,13092000,jazz/obsession/conservatory/music teacher/new york city/violence/montage/drummer/public humiliation/jazz band/young adult/music school,4.469993781094527
150,151,Love Actually,2003,8.6,GB,Comedy/Romance/Drama,40000000,244931766,"london, england/love at first sight/usa president/marseille/war on terror/office/christmas party/bars and restaurants/press conference/language barrier/prime minister/rock star/school performance/heathrow airport/multiple storylines/christmas",4.469993781094527
151,152,The Godfather: Part III,1990,8.9,IT,Crime/Drama/Thriller,54000000,136766062,italy/christianity/new york/assassination/italian american/vatican/pope/confession/helicopter/daughter/lawyer,4.469993781094527
152,153,Green Book,2018,8.9,US,Drama/Comedy,23000000,319700000,gay/southern usa/friendship/racism/pianist/driver/lgbt/music tour/1960s/america/roadtrip,4.469993781094527
153,154,Slumdog Millionaire,2008,8.6,GB,Drama/Romance,15000000,377910544,slum/indian lead/cheating/suspicion/game show/quiz show/orphan/duringcreditsstinger/taj mahal/mumbai,4.469993781094527
154,155,Once a Thief,1991,8.8,HK,Action/Comedy/Thriller/Crime,0,4303351,,4.469993781094527
155,156,Deep in the Heart,2014,8.7,CN,Drama,0,0,,4.469993781094527
156,157,Memento,2000,8.6,US,Mystery/Thriller,9000000,39723096,individual/insulin/tattoo/waitress/amnesia/motel/insurance salesman/revenge/flashback/confusion/memory loss/los angeles/polaroid/cult film/nonlinear timeline/individuality/neo-noir,4.469993781094527
